2020/01/02 14:39:27.497        rame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>95
2020/01/02 14:39:28.495 [HOST] <55:Status,All>6D
2020/01/02 14:39:28.498 [HOST] <55:Ack,0>0F
2020/01/02 14:39:28.502 [HOST] <55:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>96
2020/01/02 14:39:29.495 [HOST] <56:Status,All>6E
2020/01/02 14:39:29.498 [HOST] <56:Ack,0>10
2020/01/02 14:39:29.501 [HOST] <56:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>97
2020/01/02 14:39:30.496 [HOST] <57:Status,All>6F
2020/01/02 14:39:30.499 [HOST] <57:Ack,0>11
2020/01/02 14:39:30.502 [HOST] <57:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>98
2020/01/02 14:39:31.499 [HOST] <58:Status,All>70
2020/01/02 14:39:31.502 [HOST] <58:Ack,0>12
2020/01/02 14:39:31.505 [HOST] <58:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>99
2020/01/02 14:39:32.499 [HOST] <59:Status,All>71
2020/01/02 14:39:32.502 [HOST] <59:Ack,0>13
2020/01/02 14:39:32.505 [HOST] <59:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>9A
2020/01/02 14:39:33.501 [HOST] <60:Status,All>69
2020/01/02 14:39:33.504 [HOST] <60:Ack,0>0B
2020/01/02 14:39:33.507 [HOST] <60:Res,0,Present:1,Placed:1,Clamp:0,Dock:0,Open:0,CDA:2,Vacuum:2,24V:1,PDORaised:1,PDODocked:1,DoorLatch:1,DoorChucked:0,MapMechanismSafe:0,CrashBeam:0,SafetyFrame:0,HomingRequired:0,FNozzlesState:0,RNozzlesState:0,ENozzlesState:0,PurgeState:0,FPurge:0,RPurge:0,FlowAlarmState:0,O2Interlockstate:0,DoorEncoderPos:000.000>92
2020/01/02 14:39:34.502 [HOST] <61:Status,All>6A
2020/01/02 14:39:34.505 [HOST] <61:Ack,0>0C
